date,code,main_amount,main_percent
2025-01-05,sh601606,5268058.0,7.08
2025-01-05,sh600108,5265082.0,11.91
2025-01-05,sz002821,5256876.0,5.0
2025-01-05,sh603358,5218327.0,12.97
2025-01-05,sh603258,5208963.0,7.75
2025-01-05,sh605305,5202218.0,7.88
2025-01-05,sz000709,5187025.0,3.01
2025-01-05,sz300822,5161619.0,4.4
2025-01-05,sz301487,5156458.0,3.24
2025-01-05,sz002629,5152811.0,6.74
2025-01-05,sz300733,5143479.0,4.09
2025-01-05,sz300415,5122595.0,6.48
2025-01-05,sz300681,5120305.0,3.33
2025-01-05,sz300111,5112904.0,8.15
2025-01-05,sz002353,5065518.0,3.87
2025-01-05,sz301152,5053524.0,14.05
2025-01-05,sz300006,5038436.0,5.02
2025-01-05,sh601616,5018404.0,3.59
2025-01-05,sz300048,5011927.0,14.53
2025-01-05,sz000826,4987190.0,8.98
2025-01-05,sh603087,4980934.0,4.06
2025-01-05,sz002373,4956365.0,4.61
2025-01-05,sz000999,4929412.0,1.63
2025-01-05,sh600862,4912801.0,3.65
2025-01-05,sz301336,4888276.0,4.44
2025-01-05,sz301087,4878561.0,11.77
2025-01-05,sz300326,4864673.0,6.59
2025-01-05,sh600188,4844769.0,2.19
2025-01-05,sz002044,4822586.0,3.77
2025-01-05,sz002547,4808764.0,3.36
2025-01-05,sz000400,4785784.0,2.46
2025-01-05,sh603979,4781468.0,1.72
2025-01-05,sh603583,4776095.0,4.69
2025-01-05,sh600006,4767863.0,2.4
2025-01-05,sz300051,4766020.0,14.41
2025-01-05,sz002480,4763746.0,13.81
2025-01-05,sz000582,4750925.0,1.82
2025-01-05,sh603822,4739623.0,5.6
2025-01-05,sz300484,4713760.0,4.05
2025-01-05,sz002526,4691267.0,2.72
2025-01-05,sz002654,4679913.0,2.9
2025-01-05,sh603030,4679217.0,12.46
2025-01-05,sh603125,4677895.0,14.61
2025-01-05,sh603298,4675389.0,1.72
2025-01-05,sh603936,4669541.0,3.78
2025-01-05,sz000404,4668243.0,7.73
2025-01-05,sh603392,4660151.0,3.27
2025-01-05,sz002863,4654206.0,6.77
2025-01-05,sz301285,4633278.0,10.04
2025-01-05,sh600322,4604770.0,1.78
2025-01-05,sh600268,4593013.0,10.04
2025-01-05,sh603058,4580963.0,11.5
2025-01-05,sh603105,4569661.0,6.3
2025-01-05,sz300384,4559959.0,4.1
2025-01-05,sz002589,4529990.0,6.52
2025-01-05,sh600573,4527489.0,9.69
2025-01-05,sz300534,4518026.0,4.93
2025-01-05,sz002290,4505917.0,9.71
2025-01-05,sh600212,4505525.0,6.08
2025-01-05,sz002624,4505196.0,2.52
2025-01-05,sh600307,4503506.0,8.65
2025-01-05,sh603323,4494174.0,4.1
2025-01-05,sz301291,4488445.0,2.51
2025-01-05,sz300136,4487552.0,1.6
2025-01-05,sh600276,4482990.0,0.53
2025-01-05,sh601728,4459677.0,1.16
2025-01-05,sz001309,4453024.0,3.29
2025-01-05,sh603728,4451809.0,1.91
2025-01-05,sh603888,4435504.0,4.1
2025-01-05,sz002380,4430842.0,7.7
2025-01-05,sz002727,4427361.0,5.81
2025-01-05,sz000863,4405518.0,5.96
2025-01-05,sh603131,4401482.0,7.36
2025-01-05,sh600499,4390908.0,7.76
2025-01-05,sz002275,4384213.0,1.97
2025-01-05,sz301031,4372554.0,8.21
2025-01-05,sh600055,4341040.0,7.75
2025-01-05,sz300132,4324048.0,12.96
2025-01-05,sh603119,4318497.0,8.67
2025-01-05,sh600310,4292051.0,9.38
2025-01-05,sh600500,4286812.0,11.52
2025-01-05,sh600583,4282583.0,4.43
2025-01-05,sz300284,4226619.0,3.06
2025-01-05,sz300572,4205317.0,6.94
2025-01-05,sz002493,4196354.0,5.03
2025-01-05,sz002755,4191596.0,8.62
2025-01-05,sh605289,4182853.0,3.73
2025-01-05,sz002996,4171709.0,7.53
2025-01-05,sz300684,4157913.0,2.32
2025-01-05,sh605098,4136575.0,7.91
2025-01-05,sz300802,4133751.0,11.4
2025-01-05,sz300685,4125666.0,8.76
2025-01-05,sh600189,4120868.0,9.74
2025-01-05,sh600039,4103724.0,3.37
2025-01-05,sz000032,4086703.0,2.74
2025-01-05,sh603969,4080439.0,4.54
2025-01-05,sh600475,4076249.0,14.89
2025-01-05,sz002487,4074519.0,5.15
2025-01-05,sz002483,4046237.0,6.88
2025-01-05,sz301439,4043682.0,2.65
2025-01-05,sz002644,4041234.0,7.8
2025-01-05,sh600833,4033816.0,4.63
2025-01-05,sz300472,4015269.0,6.88
2025-01-05,sh600990,4010616.0,6.38
2025-01-05,sz300709,3997636.0,2.74
2025-01-05,sz300212,3981664.0,2.4
2025-01-05,sh600557,3970642.0,2.88
2025-01-05,sh600556,3967857.0,2.41
2025-01-05,sz301004,3965759.0,7.82
2025-01-05,sz000801,3937954.0,1.39
2025-01-05,sz002601,3935241.0,2.35
2025-01-05,sh603520,3917974.0,5.26
2025-01-05,sh600790,3892742.0,10.29
2025-01-05,sh600795,3892737.0,1.38
2025-01-05,sh600038,3879128.0,6.06
2025-01-05,sz003013,3877416.0,14.01
2025-01-05,sh600219,3877044.0,1.02
2025-01-05,sh600266,3863383.0,2.07
2025-01-05,sz002778,3862800.0,3.88
2025-01-05,sz003006,3855736.0,8.78
2025-01-05,sz001339,3852367.0,4.74
2025-01-05,sz300765,3830968.0,4.42
2025-01-05,sz300951,3819898.0,8.94
2025-01-05,sz003023,3813287.0,5.69
2025-01-05,sh600166,3810745.0,2.52
2025-01-05,sz000663,3803262.0,13.54
2025-01-05,sz301392,3802108.0,9.18
2025-01-05,sz000010,3787545.0,8.34
2025-01-05,sz301252,3776216.0,1.01
2025-01-05,sh603380,3730436.0,6.49
2025-01-05,sh603260,3707475.0,6.31
2025-01-05,sh603533,3699943.0,2.51
2025-01-05,sz301317,3699932.0,22.07
2025-01-05,sz300758,3689737.0,3.09
2025-01-05,sz300809,3665110.0,2.89
2025-01-05,sz300937,3659192.0,3.35
2025-01-05,sz300390,3654134.0,2.03
2025-01-05,sh601901,3647937.0,1.92
2025-01-05,sz000017,3643181.0,2.35
2025-01-05,sz002575,3641958.0,1.64
2025-01-05,sh600388,3628083.0,6.17
2025-01-05,sh600018,3607917.0,3.39
2025-01-05,sh603777,3601042.0,0.76
2025-01-05,sz300204,3596719.0,5.46
2025-01-05,sz002439,3582160.0,3.73
2025-01-05,sz000558,3580819.0,1.29
2025-01-05,sh600193,3579640.0,11.85
2025-01-05,sh600399,3571142.0,3.75
2025-01-05,sz002534,3559270.0,9.0
2025-01-05,sz002927,3555664.0,1.25
2025-01-05,sz300905,3548989.0,6.53
2025-01-05,sz003010,3537164.0,3.96
2025-01-05,sz300786,3534963.0,6.0
2025-01-05,sz300436,3532048.0,2.36
2025-01-05,sz300318,3524916.0,9.81
2025-01-05,sz002705,3509933.0,3.2
2025-01-05,sz301203,3502002.0,8.64
2025-01-05,sh600918,3500118.0,4.79
2025-01-05,sh603360,3498154.0,3.27
2025-01-05,sz003003,3497152.0,8.98
2025-01-05,sz301322,3482496.0,10.69
2025-01-05,sz000543,3471807.0,3.3
2025-01-05,sz002512,3462406.0,2.55
2025-01-05,sz301015,3445553.0,6.29
2025-01-05,sz002840,3439586.0,3.19
2025-01-05,sz300085,3438525.0,0.41
2025-01-05,sz002326,3436811.0,7.21
2025-01-05,sz301296,3432371.0,7.53
2025-01-05,sz002286,3417786.0,9.92
2025-01-05,sh603018,3400924.0,7.52
2025-01-05,sz301533,3396887.0,12.01
2025-01-05,sh603530,3376830.0,9.32
2025-01-05,sz002813,3355083.0,14.34
2025-01-05,sh605128,3344162.0,9.53
2025-01-05,sz002461,3343479.0,4.16
2025-01-05,sz000419,3324455.0,5.11
2025-01-05,sz002694,3315493.0,13.17
2025-01-05,sh603341,3307298.0,1.97
2025-01-05,sh603716,3307022.0,4.28
2025-01-05,sz301556,3290121.0,4.28
2025-01-05,sz002395,3286150.0,5.18
2025-01-05,sh601828,3272100.0,5.02
2025-01-05,sz003025,3266755.0,8.87
2025-01-05,sz300003,3251906.0,3.08
2025-01-05,sh603183,3250853.0,3.89
2025-01-05,sz000591,3246828.0,3.65
2025-01-05,sh600501,3227259.0,2.64
2025-01-05,sz300185,3224527.0,3.5
2025-01-05,sz300121,3222702.0,3.69
2025-01-05,sh600613,3213573.0,3.31
2025-01-05,sz002017,3184203.0,4.86
2025-01-05,sz001337,3162200.0,1.56
2025-01-05,sh600488,3156096.0,10.25
2025-01-05,sz002224,3140811.0,12.87
2025-01-05,sz300406,3139283.0,6.61
2025-01-05,sz300242,3134668.0,4.24
