date,code,name,main_amount,main_percent
2025-01-03,sh601279,英利汽车,7988552.0,8.84
2025-01-03,sz002063,远光软件,7988217.0,4.07
2025-01-03,sz301123,奕东电子,7968645.0,2.34
2025-01-03,sz001328,登康口腔,7911155.0,4.61
2025-01-03,sz002763,汇洁股份,7881177.0,13.36
2025-01-03,sh600350,山东高速,7840885.0,4.43
2025-01-03,sz301498,乖宝宠物,7802230.0,2.98
2025-01-03,sh600337,美克家居,7800342.0,7.51
2025-01-03,sz301303,真兰仪表,7785190.0,14.08
2025-01-03,sz301220,亚香股份,7725714.0,11.82
2025-01-03,sh603636,南威软件,7684923.0,4.52
2025-01-03,sh600989,宝丰能源,7684228.0,2.05
2025-01-03,sh605589,圣泉集团,7668718.0,3.61
2025-01-03,sh601019,山东出版,7643860.0,2.86
2025-01-03,sh600085,同仁堂,7636751.0,2.39
2025-01-03,sz301301,川宁生物,7620229.0,3.49
2025-01-03,sz301141,中科磁业,7599419.0,5.75
2025-01-03,sz003000,劲仔食品,7576529.0,2.37
2025-01-03,sh601212,白银有色,7408230.0,4.04
2025-01-03,sz002868,绿康生化,7355868.0,4.4
2025-01-03,sz300616,尚品宅配,7343894.0,8.41
2025-01-03,sz300030,阳普医疗,7295453.0,8.2
2025-01-03,sz002916,深南电路,7292746.0,1.11
2025-01-03,sh600137,浪莎股份,7291222.0,17.51
2025-01-03,sz000888,峨眉山Ａ,7286984.0,3.87
2025-01-03,sz001267,汇绿生态,7283744.0,5.22
2025-01-03,sz300258,精锻科技,7270501.0,11.44
2025-01-03,sh603199,九华旅游,7262953.0,4.04
2025-01-03,sh600229,城市传媒,7213934.0,9.98
2025-01-03,sz300863,卡倍亿,7148799.0,2.33
2025-01-03,sz002861,瀛通通讯,7130428.0,2.04
2025-01-03,sh600012,皖通高速,7118414.0,2.67
2025-01-03,sz002189,中光学,7081673.0,3.25
2025-01-03,sh605118,力鼎光电,7052322.0,2.6
2025-01-03,sz000537,中绿电,7048976.0,7.66
2025-01-03,sz002531,天顺风能,7043836.0,2.43
2025-01-03,sz301031,中熔电气,7038088.0,10.31
2025-01-03,sz300855,图南股份,6964538.0,4.52
2025-01-03,sz301439,泓淋电力,6953278.0,3.22
2025-01-03,sz002601,龙佰集团,6906811.0,1.5
2025-01-03,sz002813,路畅科技,6848275.0,13.09
2025-01-03,sh600538,国发股份,6830018.0,11.85
2025-01-03,sh600382,广东明珠,6825994.0,13.06
2025-01-03,sz002349,精华制药,6810846.0,3.69
2025-01-03,sh601228,广州港,6761506.0,6.66
2025-01-03,sh603066,音飞储存,6747273.0,6.93
2025-01-03,sz000534,万泽股份,6739317.0,4.53
2025-01-03,sz300723,一品红,6716879.0,5.92
2025-01-03,sh605289,罗曼股份,6673335.0,3.51
2025-01-03,sz301585,蓝宇股份,6658624.0,2.95
2025-01-03,sz300129,泰胜风能,6577119.0,7.39
2025-01-03,sz300985,致远新能,6567044.0,6.42
2025-01-03,sz301589,诺瓦星云,6566834.0,5.8
2025-01-03,sz301413,安培龙,6529820.0,5.07
2025-01-03,sz300777,中简科技,6527377.0,2.68
2025-01-03,sz000788,北大医药,6517985.0,3.84
2025-01-03,sz301030,仕净科技,6501758.0,4.48
2025-01-03,sh600513,联环药业,6490956.0,2.87
2025-01-03,sh600810,神马股份,6479766.0,10.9
2025-01-03,sz301533,威马农机,6446170.0,13.55
2025-01-03,sz300778,新城市,6434194.0,10.43
2025-01-03,sz301110,青木科技,6396627.0,1.02
2025-01-03,sh601069,西部黄金,6390648.0,4.15
2025-01-03,sz301360,荣旗科技,6360787.0,6.24
2025-01-03,sh600521,华海药业,6304696.0,3.68
2025-01-03,sh603365,水星家纺,6252775.0,5.18
2025-01-03,sh601096,宏盛华源,6252688.0,6.06
2025-01-03,sz001283,豪鹏科技,6186180.0,5.61
2025-01-03,sz300673,佩蒂股份,6184522.0,1.71
2025-01-03,sz002166,莱茵生物,6156855.0,7.69
2025-01-03,sz002905,金逸影视,6139669.0,5.64
2025-01-03,sh603350,安乃达,6125645.0,4.6
2025-01-03,sz002913,奥士康,6122017.0,5.98
2025-01-03,sh603529,爱玛科技,6089730.0,2.99
2025-01-03,sz001227,兰州银行,6087013.0,4.1
2025-01-03,sz002799,环球印务,6077968.0,6.28
2025-01-03,sh600871,石化油服,6058994.0,3.06
2025-01-03,sz300697,电工合金,6054495.0,2.14
2025-01-03,sz002884,凌霄泵业,6030262.0,5.6
2025-01-03,sh600557,康缘药业,5992451.0,5.37
2025-01-03,sz301287,康力源,5984761.0,16.94
2025-01-03,sz301263,泰恩康,5971567.0,7.22
2025-01-03,sz002389,航天彩虹,5960028.0,2.18
2025-01-03,sz002899,英派斯,5951459.0,1.63
2025-01-03,sh603602,纵横通信,5941961.0,4.41
2025-01-03,sz000517,荣安地产,5930137.0,6.7
2025-01-03,sh601077,渝农商行,5923649.0,1.13
2025-01-03,sz300395,菲利华,5917219.0,2.09
2025-01-03,sh600638,新黄浦,5863390.0,14.24
2025-01-03,sh605567,春雪食品,5821520.0,7.17
2025-01-03,sh600011,华能国际,5800571.0,2.12
2025-01-03,sz002228,合兴包装,5782440.0,9.82
2025-01-03,sz000010,美丽生态,5761129.0,7.61
2025-01-03,sz002386,天原股份,5749936.0,8.49
2025-01-03,sz003036,泰坦股份,5749359.0,8.46
2025-01-03,sz301387,光大同创,5733357.0,2.61
2025-01-03,sz000960,锡业股份,5718053.0,1.66
2025-01-03,sz300669,沪宁股份,5657894.0,20.8
2025-01-03,sz002294,信立泰,5558296.0,3.55
2025-01-03,sh600351,亚宝药业,5517589.0,7.32
2025-01-03,sz002053,云南能投,5470374.0,5.36
2025-01-03,sz300584,海辰药业,5412243.0,8.56
2025-01-03,sh600259,广晟有色,5347080.0,5.24
2025-01-03,sz300586,美联新材,5343568.0,7.71
2025-01-03,sz002317,众生药业,5224797.0,2.2
2025-01-03,sh601098,中南传媒,5222798.0,1.23
2025-01-03,sh600965,福成股份,5212037.0,5.37
2025-01-03,sz300295,三六五网,5204405.0,3.85
2025-01-03,sz002923,润都股份,5196792.0,5.89
2025-01-03,sz300979,华利集团,5196254.0,3.43
